"graph","type","node","measure","value"
"graph 1","PCC","shame","Strength",0.579357992110019
"graph 1","PCC","guilty","Strength",1.47704298078397
"graph 1","PCC","mistakes","Strength",-1.27393804888849
"graph 1","PCC","agitated","Strength",0.399590826392545
"graph 1","PCC","badperson","Strength",-0.563899080070118
"graph 1","PCC","tired","Strength",-0.618154670327927
"graph 1","PDC","shame","InStrength",1.39035319763652
"graph 1","PDC","guilty","InStrength",-1.47310158828423
"graph 1","PDC","mistakes","InStrength",0.447374989790528
"graph 1","PDC","agitated","InStrength",0.516846549290775
"graph 1","PDC","badperson","InStrength",-0.297353340001949
"graph 1","PDC","tired","InStrength",-0.584119808431646
"graph 1","PDC","shame","OutStrength",0.376696539239986
"graph 1","PDC","guilty","OutStrength",-0.690546409207259
"graph 1","PDC","mistakes","OutStrength",-1.17999443348269
"graph 1","PDC","agitated","OutStrength",-0.71855717749578
"graph 1","PDC","badperson","OutStrength",1.218392400656
"graph 1","PDC","tired","OutStrength",0.994009080289741
